t,open,high,low,close,volume
2024-01-02,33.08,33.08,31.65,32.17,38424600.0
2024-01-03,31.88,32.1,31.22,31.46,30483600.0
2024-01-04,31.4,31.42,30.44,30.98,34031300.0
2024-01-05,30.76,31.34,30.54,30.83,23476600.0
2024-01-08,30.82,30.82,29.7,30.08,30362000.0
2024-01-09,30.06,30.08,28.82,29.55,41364500.0
2024-01-10,29.33,29.39,28.6,28.75,29205000.0
2024-01-11,28.75,29.6,28.61,29.26,32403100.0
2024-01-12,29.13,29.33,28.76,28.83,29026500.0
2024-01-15,28.9,29.03,28.55,28.9,28836200.0
2024-01-16,28.87,29.1,28.58,29.07,22774000.0
2024-01-17,29.23,29.64,29.15,29.38,35927500.0
2024-01-18,29.06,30.3,28.81,30.03,43260800.0
2024-01-19,29.9,30.32,29.8,30.08,27619800.0
2024-01-22,30.05,30.18,29.04,29.29,31473400.0
2024-01-23,29.29,29.49,28.51,29.14,33031300.0
2024-01-24,29.11,29.78,28.58,29.78,26717400.0
2024-01-25,29.78,30.58,29.59,30.46,27730800.0
2024-01-26,30.48,30.64,29.9,30.1,25680700.0
2024-01-29,30.28,30.52,29.86,29.9,18524100.0
2024-01-30,30.37,31.1,30.2,30.22,38819600.0
2024-01-31,30.05,30.55,29.26,30.32,30874900.0
