t,open,high,low,close,volume
2024-01-02,5.9,5.92,5.87,5.87,22066700.0
2024-01-03,5.86,5.92,5.86,5.91,18203700.0
2024-01-04,5.91,5.94,5.82,5.89,28886000.0
2024-01-05,5.87,6.03,5.86,5.95,44421400.0
2024-01-08,5.95,5.98,5.83,5.86,37520300.0
2024-01-09,5.87,5.91,5.81,5.88,30741900.0
2024-01-10,5.88,5.9,5.84,5.84,22240900.0
2024-01-11,5.83,5.86,5.79,5.8,35914700.0
2024-01-12,5.79,5.83,5.77,5.77,34624100.0
2024-01-15,5.77,5.81,5.74,5.78,28694200.0
2024-01-16,5.76,5.87,5.76,5.86,53186500.0
2024-01-17,5.85,5.89,5.79,5.8,48249900.0
2024-01-18,5.8,5.85,5.63,5.83,73994400.0
2024-01-19,5.79,5.89,5.74,5.86,57640100.0
2024-01-22,5.85,5.94,5.8,5.86,67173500.0
2024-01-23,5.85,5.92,5.77,5.89,33298500.0
2024-01-24,5.91,6.0,5.87,5.98,53746500.0
2024-01-25,6.0,6.07,5.97,6.04,50256900.0
2024-01-26,6.05,6.18,6.02,6.14,70997900.0
2024-01-29,6.13,6.24,6.12,6.17,55269900.0
2024-01-30,6.17,6.22,6.09,6.1,40737000.0
2024-01-31,6.08,6.15,6.01,6.1,45662000.0
