date,open,high,low,close,volume
2024-01-02,5.9000,5.9200,5.8700,5.8700,22066700
2024-01-03,5.8600,5.9200,5.8600,5.9100,18203700
2024-01-04,5.9100,5.9400,5.8200,5.8900,28886000
2024-01-05,5.8700,6.0300,5.8600,5.9500,44421400
2024-01-08,5.9500,5.9800,5.8300,5.8600,37520300
2024-01-09,5.8700,5.9100,5.8100,5.8800,30741900
2024-01-10,5.8800,5.9000,5.8400,5.8400,22240900
2024-01-11,5.8300,5.8600,5.7900,5.8000,35914700
2024-01-12,5.7900,5.8300,5.7700,5.7700,34624100
2024-01-15,5.7700,5.8100,5.7400,5.7800,28694200
2024-01-16,5.7600,5.8700,5.7600,5.8600,53186500
2024-01-17,5.8500,5.8900,5.7900,5.8000,48249900
2024-01-18,5.8000,5.8500,5.6300,5.8300,73994400
2024-01-19,5.7900,5.8900,5.7400,5.8600,57640100
2024-01-22,5.8500,5.9400,5.8000,5.8600,67173500
2024-01-23,5.8500,5.9200,5.7700,5.8900,33298500
2024-01-24,5.9100,6.0000,5.8700,5.9800,53746500
2024-01-25,6.0000,6.0700,5.9700,6.0400,50256900
2024-01-26,6.0500,6.1800,6.0200,6.1400,70997900
2024-01-29,6.1300,6.2400,6.1200,6.1700,55269900
2024-01-30,6.1700,6.2200,6.0900,6.1000,40737000
2024-01-31,6.0800,6.1500,6.0100,6.1000,45662000
